text,dave,tim,jacob,fgcu_combined
this sort of creativity is awesome to see. play calling done right. chargers going to stomp the pats this weekend,joy,joy,joy,joy
Ha jokes on you guys we still use paper charts,sadness,anger,joy,
"I find it sadly ironic that a man's job is to protect his family, yet if he's alone with his children they question their safety.",sadness,anger,disgust,
Maybe you just enjoy the process of digging? Does it have to be somebody you’re attracted to or have you tried stalking a random person?,surprise,surprise,surprise,surprise
"I let my cat lick the leftover milk out of the bowl after I eat cereal, he loves it. ",joy,joy,joy,joy
"They can all argue as much as they want, life simply doesn't work that way. lol",anger,anger,neutral,anger
Lol I do the same. Sometimes it gets stuck in my head for days.,joy,joy,neutral,joy
I know plenty of [NAME] that look down on 中国人 Like they’ve forgotten the whole reason Singapore exists,anger,anger,anger,anger
"I know right, im pre everything but sometimes i paint my nails and people will tell me how much they look like a womands hands.",joy,surprise,joy,joy
Try to be rational instead of angry.,anger,anger,neutral,anger
I don’t care about this mission Texas stuff,anger,anger,anger,anger
Funny how it do,joy,joy,surprise,joy
I'll miss the podcast,sadness,sadness,sadness,sadness
Could you imagine the outrage if Canada rescued one of our citizens from the Saudi courts,anger,anger,surprise,anger
You’re an inspiration,joy,joy,joy,joy
Idk if I want [NAME] back but I agree with [NAME] ONLY if he keeps playing at this level by the end of he season.,joy,joy,fear,joy
Just doesn't really work if the DM doesn't want it to...,neutral,sadness,sadness,sadness
"As much as I love the dodgers, I can’t see them in the World Series 3 times in a row... so yeah, backwards.",neutral,sadness,sadness,sadness
"I don’t have a problem with diversity, I just wish it wasn’t so **obvious**",anger,anger,disgust,anger
I fat fingered it haha I meant 18,sadness,sadness,neutral,sadness
Ooh! I quite like the swimming pool of makeup as well.,joy,disgust,disgust,disgust
I feel retarded because i laughed,sadness,disgust,sadness,sadness
"> You first. Really. I have. I reject both, but I can do it separately because they're not necessarily correlated beliefs.",anger,anger,neutral,anger
It is if you're a loose spool.,anger,anger,neutral,anger
Yeah I know u irl you look like ur 36.,disgust,anger,neutral,
I'M SHERRIFF JOHN BUNNELL,neutral,joy,neutral,neutral
Zionism is the ISIS of [RELIGION]. Brainwashed idiots like ISIS.,disgust,anger,disgust,disgust
"Sadly, it was not",sadness,sadness,sadness,sadness
I love to see the Celtics give up [NAME] and [NAME] only to have [NAME] walk to literally any other team,joy,anger,anger,anger
This wasn’t last year. It was last century! Star Wars had just come out!,surprise,anger,surprise,surprise
I did this with tuna salad. I already ate tuna a lot (at the time) and it’s a decently blank slate.,joy,joy,surprise,joy
I love how dramatic it is. It's perfectly self aware,joy,joy,joy,joy
I am so relieved,joy,joy,joy,joy
I sense no awful taste here.,joy,joy,neutral,joy
Want to get a hangover there 👍🕺❤️,joy,joy,joy,joy
